kanji,component1,component2,component3, component4,component5
瞭,目,尞,大,日小,
瞬,目,舜,⺤,冖,舛
睦,目,坴,圥,土,
督,目,尗,又,,
睡,目,垂,,,
眼,目,艮,,,
眺,目,兆,,,
眸,目,牟,,,
看,龵,目,,,
眉,⺁,目,,,
盾,⺁,目,,,
盲,亡,目,,,
盤,般,皿,舟,殳,
監,臣,皿,,,
盟,明,皿,月,,
盛,成,戊,皿,戈,
益,八,一,皿,,
盆,分,皿,,,
皓,白,告,,,
皐,白,十,,,
皇,白,王,,,
癖,疒,辟,尸,口,辛
癒,疒,俞,愈,心,
痴,疒,知,矢,口,
痢,疒,利,禾,刂,
痘,疒,豆,,,
症,疒,正,,,
疾,疒,失,,,
疫,疒,殳,几,又,
疎,疋,束,,,
異,田,共,龷,,
畝,亩,久,,,
畔,田,半,,,
甲,,,,,
甫,,,,,
甚,卄,一,儿,匚,
環,王,睘,,,
璃,王,离,㐫,禸,凶
瑶,王,缶,⺤,牛,
瑳,王,差,左,,
瑠,王,留,刀,田,
瑞,王,耑,而,,
瑛,王,英,,,
瑚,王,胡,古,月,
琴,王,玨,今,,
琳,王,林,,,
琢,王,豕,,,
琉,王,㐬,亠ム ,川,
班,王,リ,王,,
珠,王,朱,,,
玲,王,令,,,
玖,王,久,,,
率,玄,十,幺,,
玄,亠,幺,,,
獲,犭,艹,隻,隹,
獣,畄,犬,,,
獄,犭,言,犬,,
猿,犭,袁,𠮷,,
猶,犭,酉,,,
献,南,犬,,,
猪,犭,者,耂,,
猟,犭,鼡,⺍,,
猛,犭,孟,子,皿,
狭,犭,夹,,,
独,犭,虫,,,
狩,犭,守,,,
狙,犭,且,,,
狂,犭,王,,,
犠,牛,義,,,
牲,牛,生,,,
牧,牛,攵,,,
爾,冂,八,㸚,メ,雨
爽,大,㸚,メ,,
爵,⺤,爫,罒,寸,
燿,火,歺,又,米,
燦,火,粲,,,
燎,火,尞,大,日小,
熟,孰,享,丸,灬,亠口
熙,巸,灬,巳,,
熊,能,灬,,,
煮,者,灬,耂,,
煩,火,頁,,,
焦,隹,灬,,,
烈,列,歹,刂,灬,
為,灬,,,,
炎,火,,,,
炊,火,次,,,
炉,火,戸,,,
災,巛,火,,,
瀬,氵,頼,束,頁,
濫,氵,監,臣,皿,
濁,氵,蜀,罒,虫,勹
激,氵,敫,白,方,攵
澪,氵,零,雨,令,
澄,氵,登,癶,豆,
潮,氵,朝,龺,月,
潤,氵,閏,門,王,
潟,氵,舃,臼,勹,灬
潜,氵,替,㚘,夫,
潔,氵,契,㓞,,
漸,氵,斬,車,斤,
漱,氵,束,欠,欶,
漬,氵,責,貝,,
漫,氵,日罒,又,,
漠,氵,莫,艹日,大,
漏,氵,尸,雨,,
漆,氵,桼,氺,,
漂,氵,票,示,覀,
滞,氵,帯,丗,冖,巾
滝,氵,竜,乚,,
滑,氵,骨,,,
滋,氵,兹,,,
滉,氵,晃,光,,
滅,氵,烕,戈,戊,
溝,氵,冓,,,
源,氵,原,日,小,
湧,氵,勇,,,
渦,氵,咼,冎,冋,
渥,氵,屋,,,
渚,氵,者,耂,,
渓,氵,⺤,夫,,
渋,氵,止,,,
渉,氵,歩,,,
渇,氵,曷,匂,勹,
添,氵,忝,㣺,,
淳,氵,享,亠口,,
淡,氵,炎,,,
淑,氵,叔,尗,又,
涯,氵,厓,厂,圭,
浸,氵,ヨ冖又,,,
浪,氵,良,,,
浩,氵,告,,,
浦,氵,甫,,,
浜,氵,兵,,,
浄,氵,争,,,
派,氵,⺁,,,
洸,氵,光,,,
洵,氵,旬,勹,,
洲,氵,洲,,,
洪,氵,共,龷,,
津,氵,聿,,,
洞,氵,同,,,
泰,三人,氺,,,
泣,氵,立,,,
泡,氵,包,勹,己,
泌,氵,必,,,
沿,氵,㕣,,,
沼,氵,召,,,
沢,氵,尺,,,
没,氵,殳,,,
沙,氵,少,小,,
沖,氵,中,,,
汽,氵,气,,,
汰,氵,太,,,
江,氵,工,,,
汐,氵,夕,,,
汁,氵,十,,,
氏,氏,,,,
毬,毛,求,,,
毅,豙,殳,,,
殻,壳,殳,冗,,
殴,区,殳,,,
殖,歹,直,,,
殊,歹,朱,,,
殉,歹,旬,勹,日,
歓,隹,欠,,,
款,士,欠,示,,
欽,金,欠,,,
欺,其,欠,,,
欣,斤,欠,,,
欄,木,䦨,東,門,
檀,木,亶,回,旦,
橘,木,矞,矛,冏,
樺,木,華,,,
樹,木,尌,村,豆,
模,木,莫,艹日,,
標,木,票,覀,示,
槽,木,曹,曲,,
槻,木,規,夫,見,
槙,木,真,,,
榛,木,三人,秦,,
概,木,既,,,
楼,木,娄,米,女,
楠,木,南,,,
楓,木,風,虫,,
楊,木,旦,勿,勹,
椿,木,春,三人,,
椰,木,耶,耳,阝,
検,木,㑒,,,
椎,木,隹,,,
椋,木,京,,,
棺,木,官,㠯,,
棟,木,東,,,
棚,木,朋,,,
棋,木,其,,,
棄,亠ム,丗,木,,
梨,木,利,禾,刂,
梧,木,吾,,,
梢,木,肖,,,
梓,木,辛,,,
梅,木,毎,𠂉,毋,
桟,木,㦮,戈,,
桜,木,⺍,女,,
桑,木,叒,双,,
桐,木,同,,,
案,安,木,,,
桃,木,兆,,,
桂,木,圭,,,
栽,木,戈,土,,
核,木,亥,,,
株,木,朱,,,
栞,幵,干,木,,
栗,覀,木,,,
栓,木,全,,,
柾,木,正,,,
柳,木,卯,,,
柚,木,由,,,
染,木,氿,氵,九,
某,甘,木,,,
柊,木,冬,夂,夕,
柄,木,丙,,,
架,加,木,,,
枢,木,区,,,
枠,木,九,十,卆,
析,木,斤,,,
松,木,公,,,
条,木,夂,夕,,
杜,木,土,,,
杏,木,口,,,
李,木,子,,,
杉,木,彡,,,
朽,木,丂,,,
朴,木,ト,,,
朱,失,未,,,
朗,,月,,,
朕,月,关,,,
朔,屰,朔,月,,
朋,月,,,,
曹,曲,日,,,
曙,日,署,罒,者,耂
暫,斬,車,斤,日,
暦,厂,林,日,,
暢,申,旦,勿,勹,
暖,日,爰,友,,
暑,日,者,耂,,
暉,日,軍,車,,
暇,日,叚,又,,
暁,日,十艹,,,
智,知,日,矢,,
晶,日,冒,昌,,
晨,日,辰,,,
晟,日,成,,,
晏,日,安,,,
晋,亚,日,,,
晃,日,光,,,
昴,日,卯,,,
是,日,龰,,,
昭,日,刀,口,召,
昌,日,,,,
昆,日,比,ヒ,,
昂,日,卬,卩,,
旺,日,王,,,
旭,九,日,,,
旬,勹,日,,,
旨,ヒ,日,,,
旦,日,一,,,
既,,旡,,,
旗,方,其,,,
旋,方,疋,,,
施,方,也,,,
於,方,仒,,,
斥,斤,,,,
斤,,,,,
斜,余,斗,,,
斗,十,,,,
斐,非,文,,,
斎,文,示,丿丨,,
斉,文,丿丨,,,
敷,旉,攵,,,
敵,啇,攵,,,
整,束,攵,正,,
敦,享,攵,亠口,,
敢,耳,攵,,,
救,求,攵,,,
敏,毎,攵,毋,,
故,古,攵,,,
攻,工,攵,,,
擬,扌,疑,矢,疋,
擦,扌,察,示,,
操,扌,品,木,喿,
擁,扌,雍,乡,隹,
撲,扌,菐,美,,
撮,扌,最,耳,取,
撤,扌,育,攵,,
撃,車,手,殳,,
摩,麻,手,广,林,
摘,扌,啇,古,,
摂,扌,耳,,,
搾,扌,窄,乍,儿,穴
携,扌,隽,隹,乃,
搭,扌,荅,合,,
搬,扌,般,舟,殳,
揺,扌,⺤,缶,牛,
援,扌,爰,友,,
揮,扌,軍,車,,
握,扌,屋,至,,
揚,扌,旦,勿,,
提,扌,是,,,
描,扌,苗,,,
掲,扌,曷,ヒ,匂,勹
措,扌,昔,龷,,
推,扌,隹,,,
控,扌,空,穴,工,
排,扌,非,,,
掌,龸,口,手,,
授,扌,受,又,⺤,
捺,扌,奈,示,,
捷,扌,疌,,,
据,扌,居,,,
挿,扌,申,,,
振,扌,辰,,,
挙,兴,手,,,
挑,扌,兆,儿,,
拷,扌,考,耂,丂,
拳,龹,手,,,
括,扌,舌,千,口,
拡,扌,広,ム,,
拠,扌,処,几,夂,
拙,扌,出,,,
拘,扌,句,勹,,
拓,扌,石,,,
拒,扌,巨,,,
拐,扌,叧,,,
拍,扌,白,,,
抽,扌,由,,,
抹,扌,末,,,
抵,扌,氐,氏,,
披,扌,皮,,,
択,扌,尺,,,
抗,扌,亢,,,
抑,扌,卬,卩,,
把,扌,巴,,,
抄,扌,少,小,,
批,扌,比,,,
扶,扌,夫,,,
扱,扌,及,,,
扉,戸,非,,,
扇,戸,羽,,,
房,戸,方,,,
戯,戈,虚,虎,,
戒,戈,廾,,,
我,戈,,,,
懸,県,系,心,縣,幺
懲,徴,心,王,攵,
懐,忄,褱,衣,,
懇,貇,心,艮,,
憾,忄,感,戊,,
憶,忄,意,音,,
憲,宀,龶,罒,心,
憩,舌,自,心,,
憧,忄,童,,,
憤,忄,賁,十艹,貝,
憂,㥑,夂,心,,
慶,广,心,夂,夕,
慰,尉,心,,,
慮,虍,思,心,,
慨,忄,既,,,
慧,彗,心,,,
慢,忄,日,罒,又,日罒
慕,艹日,㣺,,,
慎,忄,真,,,
態,能,心,,,
慈,兹,心,,,
愚,禺,心,,,
愉,忄,俞,,,
愁,秋,心,,,
惰,忄,左,月,,
惨,忄,参,,,
惣,物,心,,,
惟,忄,隹,,,
惜,忄,昔,龷,,
惑,戈,口,心,,
惇,忄,亠口,子,,
悼,忄,卓,,,
悦,忄,兄,,,
悠,忄,攸,,,
悟,忄,吾,,,
悔,忄,毎,毋,,
悌,忄,弟,,,
恵,一,由,心,,
恭,共,㣺,龷,,
恩,因,心,,,
恨,忄,艮,,,
恕,如,心,,,
恒,忄,亘,,,
怪,忄,圣,,,
怠,台,心,,,
怜,忄,令,,,
忠,中,心,,,
応,广,心,,,
志,士,心,,,
忍,刃,心,,,
忌,己,心,,,
徹,彳,育, 攵,,
徴,彳,山,王, 攵,
徳,彳,十,罒,心,
微,彳,山,兀, 攵,
循,彳,盾,,,
従,彳,䒑,龰,,
徐,彳,余,,,
径,彳,圣,,,
征,彳,正,,,
往,彳,主,王,丶,
影,景,彡,,,
彰,章,彡,,,
彬,林,彡,,,
彫,周,彡,⺆,𠮷,
彪,虎,彡,虍,,
彩,采,彡,⺤,,
彦,产,彡,,,
彗,丰,ヨ,,,
弾,弓,単,,,
張,弓,長,,,
弧,弓,瓜,,,
弦,弓,玄,幺,,
弥,弓,尓,,,
弘,弓,ム,,,
弔,弓,｜,,,
弓,己,,,,
弐,弋,二,,,
弊,敝,,,,
弁,ム,廾,,,
廷,廴,壬,,,
廊,广,郎,,,
廉,广,兼,,,
廃,广,発,,,
庸,广,聿,冂,,
康,广,隶,,,
庶,广,廿,灬,,
序,广,予,,,
庄,广,土,,,
幽,幺,山,,,
幻,幺,,,,
幹,龺,人,干,,
幣,敝,巾,,,
幕,艹日,巾,,,
帳,巾,長,,,
帥,,巾,,,
帝,立,冖,巾,,
帆,巾,凡,,,
巽,己,共,龷,,
巴,,,,,
巳,,,,,
己,,,,,
巧,工,丂,,,
巣,ツ,果,,,
巡,辶,巛,,,
巌,山,厳,敢,厂,
嶺,山,令,頁,,
嵯,山,差,左,,
嵩,山,高,,,
嵐,山,風,虫,,
崩,山,朋,,,
崚,山,夌,夂,,
崎,山,奇,,,
崇,山,宗,,,
峻,山,夋,夂,,
峰,山,夆,夂,,
峡,山,夹,夫,,
峠,山,上,下,,
岳,丘,山,,,
岬,山,甲,,,
岡,冂,䒑,山,,
岐,山,支,,,
屯,乚,山,,,
履,尸,復,,,
属,尸,禹,虫,,
展,尸,衣,,,
屈,尸,出,,,
尿,尸,水,,,
尾,尸,毛,,,
尽,尸,尺,,,
尼,尸,ヒ,,,
尺,尸,人,,,
就,京,尤,,,
尭,十艹,十,艹,兀,
尚,⺌,冋,,,
尋,ヨ,工,口,寸,
尉,尸,示,寸,,
射,身,寸,,,
寸,,,,,
寮,宀,尞,大,日小,
審,宀,番,,,
寧,宀,必,寍, 罒,丁
寡,宀,分,刀,,
寛,宀,艹,見,,
密,宀,必,山,,
寅,宀,由,,,
寂,宀,叔,尗,,
宵,宀,肖,,,
宴,宀,日,女,,
宰,宀,辛,,,
宮,宀,呂,,,
宥,宀,有,,,
宣,宀,亘,旦,,
宜,宀,且,,,
宙,宀,由,,,
宗,宀,示,,,
宏,宀,厷,ム,,
孤,子,瓜,,,
孟,子,皿,,,
孝,土,耂,子,,
孔,子,乚,,,
嬢,女,㐮,六,衣,
嬉,女,喜,吉,豆,
嫡,女,啇,,,
嫌,女,兼,,,
嫁,女,家,豕,,
媛,女,爰,爫,友,
媒,女,某,甘,木,
婿,女,月,胥,,
婆,女,波,皮,氵,
娯,女,呉,,,
娠,女,辰,,,
威,女,戊,,,
姿,女,次,,,
姻,女,因,,,
姫,女,臣,,,
妨,女,方,,,
妥,女,ツ,,,
妙,女,少,小,,
妊,女,壬,,,
妄,女,亡,,,
妃,女,己,,,
如,女,口,,,
奴,女,又,,,
奮,大,隹,田,,
奪,大,隹,寸,,
奨,将,大,ツ寸,,
奔,大,卉,廾,,
契,㓞,大,龶,,
奏,三人,夭,,,
奎,大,圭,,,
奉,三人,,,,
奈,大,示,,,
奇,大,可,,,
壱,士,冖,ヒ,,
壮,士,丬,,,
士,,,,,
壌,土,㐮,六,衣,
壊,土,褱,衣,罒,
壇,土,亶,旦,回,
壁,土,辟,辛,尸,
墾,土,貇,艮,豸,
墳,土,賁,十艹,貝,
墨,黒,里,土,,
墜,隊,土,豕,,
墓,艹,日,土,艹日,
塾,亠口,丸,土,,
塚,土,豕,,,
塑,屰,朔,月,土,
塊,土,鬼,,,
塁,田,土,,,
塀,土,屏,,,
堪,土,甚,,,
堤,土,是,,,
堕,阝,有,土,,
堅,臣,又,土,,
堀,土,屈,尸,出,
基,其,土,,,
培,土,咅,,,
執,幸,丸,,,
垣,土,亘,,,
垂,,,,,
坪,土,平,,,
坑,土,亢,几,,
圭,土,,,,
圏,囗,巻,己,,
囚,囗,人,,,
嚇,口,赤,,,
噴,口,賁,十艹,貝,
器,口口,大,,,
嘱,口,属,尸,,
嘉,吉,豆,加,,
嘆,口,サ,夫,,
嗣,口,冊,司,,
喬,呑,同,,,
喪,衣,土,口口,,
喝,口,曷,匂,勹,
喚,口,奐,冂儿,,
善,羊,口,立,,
啓,戸,攵,口,,
啄,口,豕,,,
唱,口,昌,日,,
唯,口,隹,,,
唇,辰,口,,,
唆,口,夋,夂,,
唄,口,貝,目,,
哲,折,口,,,
哉,土,戈,口,,
哀,亠口,衣,,,
呉,,,,,
呈,口,王,,,
呂,口,,,,
吟,口,今,,,
吐,口,土,,,
吏,史,,,,
后,⺁,口,一,,
吉,士,口,,,
司,口,,,,
叶,口,十,,,
只,口,八,,,
句,勹,口,,,
叡,睿,又,,,
叙,余,又,,,
叔,尗,又,,,
及,廴,人,フ,,
又,フ,,,,
厳,ツ,厂,敢,ツ厂,
厘,厂,里,,,
厄,厂,㔾,,,
卸,止,卩,,,
却,去,卩,,,
即,,卩,,,
卯,,卩,,,
博,十,専,由,寸,
卓,ト,早,,,
卑,甶,寸,,,
升,廾,,,,
匿,匚,若,,,
匡,匚,王,,,
匠,匚,斤,,,
匁,勹,,,,
勺,勹,,,,
勲,動,力,,,
勧,隹,力,,,
勘,甚,力,匚,,
勅,束,力,,,
勁,巠,力,工,,
劾,亥,力,,,
励,万,力,,,
劣,少,力,小,,
功,工,力,,,
創,倉,刂,戸,,
剰,乗,刂,,,
剤,斉,刂,,,
剣,㑒,刂,,,
剛,岡,刂,,,
剖,咅,刂,,,
削,肖,刂,,,
刑,开,刂,,,
刈,メ,刂,,,
刃,刀,,,,
刀,,,,,
凹,凵,,,,
凸,凵,,,,
凶,凵,メ,,,
凱,几,豈,豆,,
凪,几,止,,,
凡,几,,,,
凝,冫,疑,ヒ,矢,疋
凜,冫,稟,回,禾,
凌,冫,夌,,,
准,冫,隹,,,
冶,冫,台,,,
冴,冫,牙,,,
冠,冖,元,寸,,
冗,冖,几,,,
冒,日,,,,
兼,䒑,八,,,
典,,,,,
免,儿,ク,,,
克,古,儿,,,
充,允,儿,亠ム ,,
允,ム,儿,,,
償,イ,賞,貝,龸,
儒,イ,需,而,,
儀,イ,義,⺷,,
僧,イ,曽,田,日,
僚,イ,尞,大,日小,
僕,イ,菐,美,,
傷,イ,昜,昜,,
債,イ,責,貝,,
催,イ,崔,隹,,
傘,人,十,,,
傑,イ,桀,木,舛,
傍,イ,旁,辰,方,
偽,イ,為,,,
偵,イ,貞,貝,,
偲,イ,思,田,心,
健,イ,建,廴,聿,
偏,イ,扁,戸,冂,卄
倹,イ,㑒,,,
倭,イ,委,禾,女,
倫,イ,侖,,,
倣,イ,放,方,,
倖,イ,幸,,,
倉,人,口,戸,,
俸,イ,奉,,,
俵,イ,表,衣,,
俳,イ,非,,,
修,イ,攸,彡,攵,
保,イ,呆,,,
俗,イ,谷,,,
俊,イ,夋,,,
促,イ,足,,,
侵,イ,ヨ冖又,,,
侯,イ,矢,,,
侮,イ,毎,毋,,
価,イ,覀,,,
侑,イ,有,,,
侍,イ,寺,,,
侃,イ,川,,,
併,イ,幷,开,,
佳,イ,圭,,,
佑,イ,右,,,
佐,イ,左,,,
但,イ,旦,,,
伽,イ,加,,,
伶,イ,令,,,
伴,イ,半,,,
伯,イ,白,,,
伐,イ,戈,,,
伏,イ,犬,,,
伎,イ,支,,,
伍,イ,五,,,
伊,イ,尹,,,
企,人,止,,,
仰,イ,卩,,,
仮,イ,反,,,
仙,イ,山,,,
仁,イ,二,,,
亮,亠口,儿,冖,,
亭,亠口,丁,冖,,
享,亠口,了,亨,,
亨,亠口,了,,,
亦,亠,,,,
亥,亠,,,,
亜,覀,口,,,
亘,旦,日,,,
井,丿丨,,,,
亀,申,,,,
也,,,,,
乙,,,,,
乏,之,,,,
之,,,,,
乃,,,,,
丹,一,,,,
丞,一,,,,
丙,内,,,,
丘,一,,,,
且,月,一,,,
丑,一,刀,,,
丁,一,,,,